procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  21096  72020  29020 609076    0    1    41    43  168  333  9  1 89  0  0
 0  0  22276  76124  29020 594788    0 1180     0  1180  206  405  6  4 91  0  0
 0  0  22276  65760  29020 594788    0    0     0     0  220  430  7  4 89  0  0
 1  0  24148  86240  29008 565252    0 1872     0  1872  239  448  5 12 83  0  0
 0  0  24148  76112  29024 565068    0    0     8    24  198  365  5  6 89  0  0
 0  0  24148  65812  29024 565068    0    0     0     0  205  427  7  5 89  0  0
 1  0  24148  65448  29024 565060    0    0     0     0  158  322  5  1 94  0  0
 0  0  26480  80740  28392 542496    0 2332     4  2332  219  394  6  7 87  0  0
 0  0  26480 183492  28392 542428    0    0     0     4  202  424  7  1 92  0  0
 0  0  26480 183624  28392 542384    0    0     0     0  137  323  5  1 95  0  0
 0  0  26480 183540  28392 542384    0    0     0     0  151  299  6  1 94  0  0
 0  0  26480 183616  28392 542380    0    0     0     0  193  434  8  0 92  0  0
 0  0  26480 183444  28392 542380    0    0     0   580  250  494  6  2 92  0  0
 0  0  26480 183576  28392 542380    0    0     0     0  187  429  7  1 92  0  0
 0  0  26480 183616  28400 542304    0    0     0    52  144  314  5  1 95  0  0
 0  0  26480 183616  28400 542296    0    0     0     0  175  390  6  1 94  0  0
 0  0  26480 183616  28400 542296    0    0     0     0  175  448  6  1 93  0  0
 0  0  26480 183608  28400 542292    0    0     0     4  189  425  7  2 92  0  0
 0  0  26480 183360  28400 542292    0    0     0     0  172  356  6  1 94  0  0
 0  0  26480 183376  28400 542260    0    0     0     0  438  774  7  2 91  0  0
 0  0  26480 183376  28400 542260    0    0     0     0  604 1077 11  2 87  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  26480 183376  28400 542260    0    0     0     0  258  430  7  1 92  0  0
 0  0  26480 183376  28400 542212    0    0     0     0  289  525  8  1 91  0  0
 0  0  26480 183376  28408 542212    0    0     0    12  165  355  5  1 94  1  0
 0  0  26480 183376  28424 542212    0    0    16     0  181  381  6  1 93  0  0
 0  0  26480 183376  28424 542212    0    0     0     0  155  367  6  0 93  0  0
 0  0  26480 183308  28440 542196    0    0     0    88  172  383  6  0 94  0  0
 2  0  26480 183144  28440 542216    0    0     0    24  434  834 10  2 89  0  0
 2  0  26480 183144  28440 542216    0    0     0     0  381  698 10  2 89  0  0
 0  0  26480 178556  28440 542216    0    0     0     0  505  772 24  3 74  0  0
 0  0  26480 179792  28440 542148    0    0     0     0  152  283  6  1 93  0  0
 0  0  26480 179696  28448 542148    0    0     0    76  547 1033 19  2 79  0  0
 0  0  26480 179688  28448 542164    0    0     0   420  433  739 11  3 86  0  0
 0  0  26480 177084  28448 542156    0    0     0     0  537  840 24  1 75  0  0
 0  0  26480 177084  28448 542140    0    0     0     0  530  796 18  1 81  0  0
 0  0  26480 177084  28448 542140    0    0     0     0  234  508  9  0 91  0  0
 0  0  26480 177124  28448 542132    0    0     0     0  204  423  9  1 91  0  0
 0  0  26480 176952  28456 542120    0    0     0   492  203  398  7  1 92  0  0
 0  0  26480 177000  28456 542120    0    0     0     0  199  434  9  1 91  0  0
 0  0  26480 176960  28456 542120    0    0     0     0  198  398  8  1 91  0  0
